,Reporting_year,CORNO,mountains,coverage total,town_distance_miles,road_distance_miles,length,miles,death_counts,az_encounters,az_staffing,total_border_miles,total_unwalled_miles,percent_unwalled_border,town_distance_miles_median
28,1992.0,5.0,,,,,58304.41194386428,36.22868194841799,0.0,95928.0,495.0,36.228681948417986,371.3465305345004,0.09756030814741144,
29,1992.0,6.0,1.25,6.75,9.701113638799209,2.3022293514462335,46337.47309657957,28.792770892289575,4.0,95928.0,495.0,28.792770892289578,371.3465305345004,0.07753612468344995,5.987888285277629
30,1992.0,7.0,0.0,0.0,32.97716250477291,6.677725821655079,84254.16107016541,52.35310849512868,1.0,95928.0,495.0,52.35310849512868,371.3465305345004,0.14098181668689308,32.97716250477291
31,1992.0,8.0,,,,,11542.392641138287,7.172110273956126,0.0,95928.0,495.0,7.172110273956126,371.3465305345004,0.019313793678462258,
32,1992.0,9.0,,,,,22121.71047204987,13.745793605096509,0.0,95928.0,495.0,13.745793605096509,371.3465305345004,0.03701608194726203,
33,1992.0,10.0,,,,,31063.297973858003,19.30183848946733,0.0,95928.0,495.0,19.301838489467332,371.3465305345004,0.05197796909987306,
34,1992.0,11.0,,,,,89886.65062920398,55.85297524635603,0.0,95928.0,495.0,55.85297524635603,371.3465305345004,0.1504066166067679,
35,1992.0,12.0,,,,,105087.36800448348,65.29826312108857,0.0,95928.0,495.0,70.9213161607967,371.3465305345004,0.1758418559265951,
36,1993.0,1.0,,,,,34091.244753207124,21.183317389064054,0.0,116187.0,469.0,21.183317389064058,371.3465305345004,0.05704460833005141,
37,1993.0,2.0,0.0,7.0,0.0,0.2871631579758797,42229.88084757553,26.240431400275977,1.0,116187.0,469.0,26.240431400275977,371.3465305345004,0.07066292328760045,0.0
38,1993.0,3.0,,,,,33284.13206254826,20.681800814391032,0.0,116187.0,469.0,20.681800814391032,371.3465305345004,0.055694073092920855,
39,1993.0,4.0,0.0,7.0,0.0,0.1004602164405205,39421.587570105046,24.495438858968555,2.0,116187.0,469.0,24.495438858968555,371.3465305345004,0.06596382851271254,0.0
40,1993.0,5.0,2.5,7.0,5.385241054478666,1.0485761313231585,58304.41194386428,36.22868194841799,4.0,116187.0,469.0,36.228681948417986,371.3465305345004,0.09756030814741144,5.599949397824075
41,1993.0,6.0,5.5,6.5,15.377743924783012,1.352168807303756,46337.47309657957,28.792770892289575,2.0,116187.0,469.0,28.792770892289578,371.3465305345004,0.07753612468344995,15.377743924783012
42,1993.0,7.0,4.285714285714286,3.2857142857142856,19.91403135008246,7.3839137508274195,84254.16107016541,52.35310849512868,7.0,116187.0,469.0,52.35310849512868,371.3465305345004,0.14098181668689308,20.234369730586515
43,1993.0,8.0,0.0,2.0,38.74357896865228,9.484150817309862,11542.392641138287,7.172110273956126,1.0,116187.0,469.0,7.172110273956126,371.3465305345004,0.019313793678462258,38.74357896865228
44,1993.0,9.0,,,,,22121.71047204987,13.745793605096509,0.0,116187.0,469.0,13.745793605096509,371.3465305345004,0.03701608194726203,
