,year,length,CORNO,miles
0,1995,2605671.0670458497,0.0,1619.0889368901917
1,1995,34091.244753207124,1.0,21.183317389064058
2,1995,42229.88084757553,2.0,26.240431400275977
3,1995,31572.593932088203,3.0,19.618300326113612
4,1995,39421.587570105046,4.0,24.495438858968555
5,1995,58304.41194386428,5.0,36.228681948417986
6,1995,46337.47309657957,6.0,28.792770892289578
7,1995,84254.16107016541,7.0,52.35310849512868
8,1995,11542.392641138287,8.0,7.172110273956126
9,1995,22121.71047204987,9.0,13.745793605096509
10,1995,31063.297973858003,10.0,19.301838489467332
11,1995,89886.65062920398,11.0,55.85297524635603
12,1995,105087.36800448349,12.0,65.29826312108857
0,1996,2602455.935307273,0.0,1617.0911466493553
1,1996,34091.244753207124,1.0,21.183317389064058
2,1996,42229.88084757553,2.0,26.240431400275977
3,1996,31572.593932088203,3.0,19.618300326113612
4,1996,39421.587570105046,4.0,24.495438858968555
5,1996,58304.41194386428,5.0,36.228681948417986
6,1996,46337.47309657957,6.0,28.792770892289578
7,1996,84254.16107016541,7.0,52.35310849512868
8,1996,11542.392641138287,8.0,7.172110273956126
9,1996,22121.71047204987,9.0,13.745793605096509
10,1996,31063.297973858003,10.0,19.301838489467332
11,1996,89886.65062920398,11.0,55.85297524635603
12,1996,105087.36800448349,12.0,65.29826312108857
0,1997,2599155.0053400956,0.0,1615.0400438609415
1,1997,34091.244753207124,1.0,21.183317389064058
2,1997,42129.62784907912,2.0,26.17813707509869
3,1997,31572.593932088203,3.0,19.618300326113612
4,1997,39421.587570105046,4.0,24.495438858968555
5,1997,58304.41194386428,5.0,36.228681948417986
6,1997,46337.47309657957,6.0,28.792770892289578
7,1997,84254.16107016541,7.0,52.35310849512868
8,1997,11542.392641138287,8.0,7.172110273956126
9,1997,22121.71047204987,9.0,13.745793605096509
10,1997,31063.297973858003,10.0,19.301838489467332
11,1997,89886.65062920398,11.0,55.85297524635603
12,1997,105087.36800448349,12.0,65.29826312108857
0,1998,2576545.152806867,0.0,1600.990932841425
1,1998,34091.244753207124,1.0,21.183317389064058
2,1998,41905.37429365855,2.0,26.03879237605677
3,1998,31436.571852300185,3.0,19.533780124257415
4,1998,39421.587570105046,4.0,24.495438858968555
5,1998,58109.37419498808,5.0,36.10749110991378
6,1998,46337.47309657957,6.0,28.792770892289578
7,1998,84254.16107016541,7.0,52.35310849512868
8,1998,11542.392641138287,8.0,7.172110273956126
9,1998,22121.71047204987,9.0,13.745793605096509
10,1998,31063.297973858003,10.0,19.301838489467332
11,1998,89886.65062920398,11.0,55.85297524635603
12,1998,105087.36800448349,12.0,65.29826312108857
0,1999,2566874.8341208743,0.0,1594.9820753924898
1,1999,34091.244753207124,1.0,21.183317389064058
2,1999,41905.37429365855,2.0,26.03879237605677
3,1999,31189.055866325405,3.0,19.37998082101321
4,1999,39421.587570105046,4.0,24.495438858968555
5,1999,58109.37419498808,5.0,36.10749110991378
6,1999,46337.47309657957,6.0,28.792770892289578
7,1999,84254.16107016541,7.0,52.35310849512868
8,1999,11542.392641138287,8.0,7.172110273956126
9,1999,22121.71047204987,9.0,13.745793605096509
10,1999,31063.297973858003,10.0,19.301838489467332
11,1999,89886.65062920398,11.0,55.85297524635603
12,1999,105087.36800448349,12.0,65.29826312108857
0,2000,2566871.224300686,0.0,1594.9798323542166
1,2000,34091.244753207124,1.0,21.183317389064058
2,2000,41905.37429365855,2.0,26.03879237605677
3,2000,30478.844628708885,3.0,18.938676017723637
4,2000,39421.587570105046,4.0,24.495438858968555
5,2000,58109.37419498808,5.0,36.10749110991378
6,2000,46337.47309657957,6.0,28.792770892289578
7,2000,84254.16107016541,7.0,52.35310849512868
8,2000,11542.392641138287,8.0,7.172110273956126
9,2000,22121.71047204987,9.0,13.745793605096509
10,2000,31063.297973858003,10.0,19.301838489467332
11,2000,89886.65062920398,11.0,55.85297524635603
12,2000,105087.36800448349,12.0,65.29826312108857
0,2001,2566871.224300686,0.0,1594.9798323542166
1,2001,34091.244753207124,1.0,21.183317389064058
2,2001,41905.37429365855,2.0,26.03879237605677
3,2001,30478.844628708885,3.0,18.938676017723637
4,2001,39421.587570105046,4.0,24.495438858968555
5,2001,58109.37419498808,5.0,36.10749110991378
6,2001,46337.47309657957,6.0,28.792770892289578
7,2001,84254.16107016541,7.0,52.35310849512868
8,2001,11542.392641138287,8.0,7.172110273956126
9,2001,22121.71047204987,9.0,13.745793605096509
10,2001,31063.297973858003,10.0,19.301838489467332
11,2001,89886.65062920398,11.0,55.85297524635603
12,2001,105087.36800448349,12.0,65.29826312108857
0,2002,2566871.224300686,0.0,1594.9798323542166
1,2002,34091.244753207124,1.0,21.183317389064058
2,2002,41905.37429365855,2.0,26.03879237605677
3,2002,29742.907520880202,3.0,18.481385899795097
4,2002,39421.587570105046,4.0,24.495438858968555
5,2002,58109.37419498808,5.0,36.10749110991378
6,2002,46337.47309657957,6.0,28.792770892289578
7,2002,84254.16107016541,7.0,52.35310849512868
8,2002,11542.392641138287,8.0,7.172110273956126
9,2002,22121.71047204987,9.0,13.745793605096509
10,2002,31063.297973858003,10.0,19.301838489467332
11,2002,89886.65062920398,11.0,55.85297524635603
12,2002,105087.36800448349,12.0,65.29826312108857
0,2003,2566871.224300686,0.0,1594.9798323542166
1,2003,34091.244753207124,1.0,21.183317389064058
2,2003,41905.37429365855,2.0,26.03879237605677
3,2003,29742.907520880202,3.0,18.481385899795097
4,2003,39421.587570105046,4.0,24.495438858968555
5,2003,58109.37419498808,5.0,36.10749110991378
6,2003,46337.47309657957,6.0,28.792770892289578
7,2003,84254.16107016541,7.0,52.35310849512868
8,2003,11542.392641138287,8.0,7.172110273956126
9,2003,22121.71047204987,9.0,13.745793605096509
10,2003,31063.297973858003,10.0,19.301838489467332
11,2003,89886.65062920398,11.0,55.85297524635603
12,2003,105087.36800448349,12.0,65.29826312108857
0,2004,2565225.066802203,0.0,1593.9569575071646
1,2004,34091.244753207124,1.0,21.183317389064058
2,2004,41905.37429365855,2.0,26.03879237605677
3,2004,29742.907520880202,3.0,18.481385899795097
4,2004,39421.587570105046,4.0,24.495438858968555
5,2004,58109.37419498808,5.0,36.10749110991378
6,2004,46337.47309657957,6.0,28.792770892289578
7,2004,84254.16107016541,7.0,52.35310849512868
8,2004,11542.392641138287,8.0,7.172110273956126
9,2004,22121.71047204987,9.0,13.745793605096509
10,2004,31063.297973858003,10.0,19.301838489467332
11,2004,89886.65062920398,11.0,55.85297524635603
12,2004,105087.36800448349,12.0,65.29826312108857
0,2005,2563880.5527828466,0.0,1593.1215152282964
1,2005,34091.244753207124,1.0,21.183317389064058
2,2005,41708.43266174256,2.0,25.916418519478707
3,2005,25346.94509410979,3.0,15.749861486685552
4,2005,39421.587570105046,4.0,24.495438858968555
5,2005,58109.37419498808,5.0,36.10749110991378
6,2005,46337.47309657957,6.0,28.792770892289578
7,2005,84254.16107016541,7.0,52.35310849512868
8,2005,11542.392641138287,8.0,7.172110273956126
9,2005,22121.71047204987,9.0,13.745793605096509
10,2005,31063.297973858003,10.0,19.301838489467332
11,2005,89886.65062920398,11.0,55.85297524635603
12,2005,105087.36800448349,12.0,65.29826312108857
0,2006,2563880.5527828466,0.0,1593.1215152282964
1,2006,34091.244753207124,1.0,21.183317389064058
2,2006,41459.12969346886,2.0,25.76150883691334
3,2006,25006.93592706007,3.0,15.53858958526494
4,2006,39421.587570105046,4.0,24.495438858968555
5,2006,58109.37419498808,5.0,36.10749110991378
6,2006,46337.47309657957,6.0,28.792770892289578
7,2006,84254.16107016541,7.0,52.35310849512868
8,2006,11542.392641138287,8.0,7.172110273956126
9,2006,22121.71047204987,9.0,13.745793605096509
10,2006,31063.297973858003,10.0,19.301838489467332
11,2006,89886.65062920398,11.0,55.85297524635603
12,2006,105087.36800448349,12.0,65.29826312108857
0,2007,2546684.155762537,0.0,1582.4361695136813
1,2007,34091.244753207124,1.0,21.183317389064058
2,2007,24941.969121187085,2.0,15.498221083659212
3,2007,8025.785067420458,3.0,4.9869916340788505
4,2007,39421.587570105046,4.0,24.495438858968555
5,2007,58109.37419498808,5.0,36.10749110991378
6,2007,35080.77202316568,6.0,21.79818112831471
7,2007,84254.16107016541,7.0,52.35310849512868
8,2007,11542.392641138287,8.0,7.172110273956126
9,2007,22121.71047204987,9.0,13.745793605096509
10,2007,31063.297973858003,10.0,19.301838489467332
11,2007,88009.20894775912,11.0,54.68638707084615
12,2007,39361.98776666506,12.0,24.458405258062086
0,2008,2454804.4665787574,0.0,1525.3447775249667
1,2008,34091.244753207124,1.0,21.183317389064058
2,2008,17816.37974618773,2.0,11.070585120013327
3,2008,839.5308302650778,3.0,0.5216602727225611
4,2008,34820.964140544296,4.0,21.636743994599264
5,2008,43765.03265265822,5.0,27.19433050730116
6,2008,35080.77202316568,6.0,21.79818112831471
7,2008,84254.16107016541,7.0,52.35310849512868
8,2008,11542.392641138287,8.0,7.172110273956126
9,2008,14347.09012643566,9.0,8.914868493594756
10,2008,30600.346623083617,10.0,19.014173856798642
11,2008,88009.20894775912,11.0,54.68638707084615
